attack_type,target_ip,src_ip,icmp_type,icmp_code,description,pkt_count,window_start,window_end,duration_sec,pps,unique_srcs
Single-Source DoS,192.168.56.63,192.168.56.64,3,4,Destination Unreachable – Fragmentation Needed (PMTUD Abuse),100,1778657031.261569,1778657031.756569,0.495,202.02,1
Single-Source DoS,192.168.56.63,192.168.56.64,3,4,Destination Unreachable – Fragmentation Needed (PMTUD Abuse),201,1778657031.761569,1778657032.761569,1.0,201.0,1
Single-Source DoS,192.168.56.63,192.168.56.64,3,4,Destination Unreachable – Fragmentation Needed (PMTUD Abuse),201,1778657032.766569,1778657033.766569,1.0,201.0,1
Single-Source DoS,192.168.56.63,192.168.56.102,4,0,Source Quench (Deprecated – RFC 6633),100,1778657035.261569,1778657036.053569,0.792,126.26,1
Distributed DoS (DDoS),192.168.56.63,Multiple (150 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,150,1778657038.261569,1778657038.753269,0.4917,305.06,150
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.264869,1778657039.264769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.268169,1778657039.268069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.271469,1778657039.271369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.274769,1778657039.274669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.278069,1778657039.277969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.281369,1778657039.281269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.284669,1778657039.284569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.287969,1778657039.287869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.291269,1778657039.291169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.294569,1778657039.294469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.297869,1778657039.297769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.301169,1778657039.301069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.304469,1778657039.304369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.307769,1778657039.307669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.311069,1778657039.310969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.314369,1778657039.314269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.317669,1778657039.317569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.320969,1778657039.320869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.324269,1778657039.324169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.327569,1778657039.327469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.330869,1778657039.330769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.334169,1778657039.334069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.337469,1778657039.337369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.340769,1778657039.340669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.344069,1778657039.343969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.347369,1778657039.347269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.350669,1778657039.350569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.353969,1778657039.353869,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.357269,1778657039.357169,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.360569,1778657039.360469,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.363869,1778657039.363769,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.367169,1778657039.367069,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.370469,1778657039.370369,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.373769,1778657039.373669,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.377069,1778657039.376969,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.380369,1778657039.380269,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.383669,1778657039.383569,0.9999,304.03,303
Distributed DoS (DDoS),192.168.56.63,Multiple (303 Spoofed/Botnet IPs),Mixed,Mixed,Nhiều IP phân tán cùng dội bom 1 mục tiêu,304,1778657038.386969,1778657039.386869,0.9999,304.03,303
